车辆品牌,MOB,prepay_accum_rate
双环,8,0.0
双龙,1,0.0
双龙,2,0.0
双龙,3,0.0
双龙,4,0.0
双龙,5,0.0
双龙,6,0.0
双龙,7,0.0
双龙,8,0.0
双龙,9,0.0
双龙,10,0.0
双龙,11,0.0
双龙,12,0.0
双龙,13,0.0
吉利,1,0.0
吉利,2,0.0
吉利,3,0.0
吉利,4,0.0
吉利,5,0.0
吉利,6,0.0
吉利,7,0.0
吉利,8,0.0
吉利,9,0.0
吉利,10,0.0
吉利,11,0.0
吉利,12,0.0
吉利,13,0.0
吉利汽车,1,0.0
吉利汽车,2,0.0420153342182
吉利汽车,3,0.0420153342182
吉利汽车,4,0.0420153342182
吉利汽车,5,0.0420153342182
吉利汽车,6,0.0420153342182
吉利汽车,7,0.0420153342182
吉利汽车,8,0.0420153342182
吉利汽车,9,0.0420153342182
吉利汽车,10,0.0420153342182
吉利汽车,11,0.0420153342182
名爵,1,0.0
名爵,2,0.0
启辰,1,0.0
启辰,2,0.149397983263
启辰,3,0.149397983263
启辰,4,0.149397983263
启辰,5,0.149397983263
启辰,6,0.149397983263
启辰,7,0.149397983263
启辰,8,0.149397983263
启辰,9,0.149397983263
启辰,10,0.149397983263
启辰,11,0.149397983263
哈弗,1,0.016244791482
哈弗,2,0.016244791482
哈弗,3,0.016244791482
哈弗,4,0.016244791482
哈弗,5,0.016244791482
哈弗,6,0.0197917152608
哈弗,7,0.0197917152608
哈弗,8,0.0337286177857
哈弗,9,0.0337286177857
哈弗,10,0.0337286177857
哈弗,11,0.0337286177857
哈弗,12,0.0337286177857
哈弗,13,0.0337286177857
哈弗,14,0.0337286177857
大众,1,0.0110751873257
大众,2,0.0184599576385
大众,3,0.0198253712144
大众,4,0.02540754713
大众,5,0.0288562644947
大众,6,0.0288562644947
大众,7,0.0313368675154
大众,8,0.0322506207266
大众,9,0.0334395689485
大众,10,0.0334395689485
大众,11,0.0368200478832
大众,12,0.0374087172127
大众,13,0.0374087172127
大众,14,0.0374087172127
大众,15,0.0376984080524
大众,16,0.0376984080524
大众,17,0.0381090963351
大众,18,0.0384950497993
大众,19,0.0384950497993
大众,20,0.0384950497993
大众,21,0.0384950497993
大众,22,0.0384950497993
大众,23,0.0384950497993
奇瑞,1,0.0252296654647
奇瑞,2,0.0487108987218
奇瑞,3,0.0487108987218
奇瑞,4,0.0487108987218
奇瑞,5,0.0487108987218
奇瑞,6,0.0487108987218
奇瑞,7,0.0487108987218
奇瑞,8,0.0487108987218
奇瑞,9,0.0763333425281
奇瑞,10,0.0763333425281
奇瑞,11,0.0763333425281
奇瑞,12,0.0763333425281
奇瑞,13,0.0763333425281
奇瑞,14,0.0763333425281
奇瑞,15,0.0763333425281
奇瑞,16,0.0763333425281
奇瑞,17,0.0763333425281
奇瑞,18,0.0763333425281
奇瑞,19,0.0763333425281
奇瑞,20,0.0763333425281
奇瑞,21,0.0763333425281
奇瑞,22,0.0763333425281
奇瑞,23,0.0763333425281
奔腾,1,0.0
奔腾,2,0.0
奔腾,3,0.0
奔腾,4,0.0
奔腾,5,0.0588201455266
奔腾,6,0.0588201455266
奔腾,7,0.0588201455266
奔腾,8,0.0588201455266
奔腾,9,0.0588201455266
奔腾,10,0.0588201455266
奔腾,11,0.0588201455266
奔腾,12,0.0588201455266
奔腾,13,0.0588201455266
奔腾,14,0.0588201455266
奔腾,15,0.0588201455266
奔腾,16,0.0588201455266
奔腾,17,0.0588201455266
奔腾,18,0.0588201455266
奔腾,19,0.0588201455266
奔腾,20,0.0588201455266
奔腾,21,0.0588201455266
奔腾,22,0.0588201455266
奔驰,1,0.00256592356237
奔驰,2,0.00668080187304
奔驰,3,0.0124025161027
奔驰,4,0.0155924256222
奔驰,5,0.0199946640453
奔驰,6,0.0310365002743
奔驰,7,0.0403671785299
奔驰,8,0.0477252209374
奔驰,9,0.0477252209374
奔驰,10,0.0477252209374
奔驰,11,0.052621469626
奔驰,12,0.0559699765483
奔驰,13,0.0559699765483
奔驰,14,0.0559699765483
奔驰,15,0.0576451980624
奔驰,16,0.0576451980624
奔驰,17,0.0576451980624
奔驰,18,0.0576451980624
奔驰,19,0.0576451980624
奔驰,20,0.0576451980624
奔驰,21,0.0576451980624
奥迪,1,0.00616313402211
奥迪,2,0.0265168313291
奥迪,3,0.0304780373813
奥迪,4,0.0386286551494
奥迪,5,0.0458489472728
奥迪,6,0.052138022869
奥迪,7,0.052138022869
奥迪,8,0.052138022869
奥迪,9,0.052138022869
奥迪,10,0.052805384381
奥迪,11,0.0622180140195
奥迪,12,0.0624882262342
奥迪,13,0.0642458841754
奥迪,14,0.0660188456184
奥迪,15,0.0674909683231
奥迪,16,0.0691946345727
奥迪,17,0.0691946345727
奥迪,18,0.0691946345727
奥迪,19,0.0691946345727
奥迪,20,0.0691946345727
奥迪,21,0.0691946345727
奥迪,22,0.0691946345727
奥迪,23,0.0691946345727
安驰,1,1.87660530299
宝马,1,0.00587587537841
宝马,2,0.0129636845594
宝马,3,0.0290887471519
宝马,4,0.057065682618
宝马,5,0.0714086785662
宝马,6,0.0800075314428
宝马,7,0.0824551568687
宝马,8,0.0959593229424
宝马,9,0.097323171445
宝马,10,0.0987822115153
宝马,11,0.0987822115153
宝马,12,0.101610122356
宝马,13,0.101610122356
宝马,14,0.101775251676
宝马,15,0.101775251676
宝马,16,0.101775251676
宝马,17,0.101775251676
宝马,18,0.101775251676
宝马,19,0.101775251676
宝马,20,0.101775251676
宝马,21,0.101775251676
宝马,22,0.101775251676
宝马,23,0.101775251676
宝骏,1,0.0
宝骏,2,0.023062666989
宝骏,3,0.023062666989
宝骏,4,0.023062666989
宝骏,5,0.023062666989
宝骏,6,0.023062666989
宝骏,7,0.023062666989
宝骏,8,0.023062666989
宝骏,9,0.023062666989
宝骏,10,0.023062666989
宝骏,11,0.023062666989
宝骏,12,0.023062666989
宝骏,13,0.023062666989
宝骏,14,0.023062666989
宝骏,15,0.023062666989
广汽,1,0.0
广汽,2,0.0
广汽,3,0.0
广汽,4,0.0
广汽,5,0.0
广汽,6,0.0
广汽,7,0.0
广汽,8,0.0
广汽,9,0.0
广汽,10,0.0
广汽,11,0.0
广汽,12,0.0
广汽,13,0.0
广汽,14,0.0
广汽,15,0.0
广汽,16,0.0
广汽,17,0.0
广汽,18,0.0
广汽,19,0.0
广汽,20,0.0
广汽,21,0.0
广汽,22,0.0
广汽,23,0.0
广汽传祺,1,0.0
广汽传祺,2,0.0
广汽传祺,3,0.0
广汽传祺,4,0.0
广汽传祺,5,0.0
广汽传祺,6,0.0343656916659
广汽传祺,7,0.0343656916659
广汽传祺,8,0.0343656916659
广汽传祺,9,0.0343656916659
广汽传祺,10,0.0343656916659
广汽传祺,11,0.0343656916659
广汽传祺,12,0.0343656916659
广汽传祺,13,0.0343656916659
广汽传祺,14,0.0343656916659
广汽传祺,15,0.0343656916659
广汽传祺,16,0.0343656916659
广汽传祺,17,0.0343656916659
广汽吉奥,1,0.0
广汽吉奥,2,0.0
广汽吉奥,3,0.0
广汽吉奥,4,0.0
广汽吉奥,5,0.0
